event_date,country,admin1,location,latitude,longitude,event_type,sub_event_type,fatalities
2024-01-01,Ukraine,Luhansk,Bilohorivka,48.9259,38.2467,Explosions/Remote violence,Shelling/artillery/missile attack,0
2024-01-01,Ukraine,Dnipropetrovsk,Dnipro,48.4593,35.0386,Strategic developments,Disrupted weapons use,0
2024-01-01,Ukraine,Dnipropetrovsk,Dnipro,48.4593,35.0386,Strategic developments,Disrupted weapons use,0
2024-01-01,Ukraine,Dnipropetrovsk,Dnipro,48.4593,35.0386,Explosions/Remote violence,Air/drone strike,0
2024-01-01,Ukraine,Dnipropetrovsk,Hlukhe,47.6767,34.7989,Explosions/Remote violence,Shelling/artillery/missile attack,0
2024-01-01,Ukraine,Kherson,Kachkarivka,47.0987,33.7445,Explosions/Remote violence,Air/drone strike,0
2024-01-01,Ukraine,Dnipropetrovsk,Kamianske,48.5212,34.6114,Strategic developments,Disrupted weapons use,0
2024-01-01,Ukraine,Donetsk,Kostiantynivka,47.8659,37.4083,Explosions/Remote violence,Shelling/artillery/missile attack,0
2024-01-01,Ukraine,Kherson,Krynky,46.7467,33.1187,Battles,Armed clash,0
2024-01-01,Ukraine,Dnipropetrovsk,Kryvyi Rih,47.9093,33.3933,Strategic developments,Disrupted weapons use,0
2024-01-01,Ukraine,Dnipropetrovsk,Kryvyi Rih,47.9093,33.3933,Explosions/Remote violence,Shelling/artillery/missile attack,0
2024-01-01,Ukraine,Luhansk,Lysychansk,48.9054,38.4353,Explosions/Remote violence,Shelling/artillery/missile attack,0
2024-01-01,Ukraine,Donetsk,Marinka,47.9425,37.505,Explosions/Remote violence,Air/drone strike,0
2024-01-01,Ukraine,Donetsk,Nevelske,48.0595,37.5754,Battles,Armed clash,0
2024-01-01,Ukraine,Zaporizhia,Novodarivka,47.7807,36.6353,Explosions/Remote violence,Air/drone strike,0
2024-01-01,Ukraine,Odesa,Odesa,46.4639,30.7386,Explosions/Remote violence,Air/drone strike,1
2024-01-01,Ukraine,Luhansk,Ploshchanka,49.2088,38.0832,Battles,Armed clash,0
2024-01-01,Ukraine,Donetsk,Prechystivka,47.7788,37.0753,Explosions/Remote violence,Shelling/artillery/missile attack,0
2024-01-01,Ukraine,Donetsk,Rozdolivka,48.7545,38.0814,Explosions/Remote violence,Shelling/artillery/missile attack,0
2024-01-01,Ukraine,Donetsk,Spirne,48.8082,38.2588,Explosions/Remote violence,Air/drone strike,0
2024-01-01,Ukraine,Dnipropetrovsk,Synelnykove,48.3204,35.5179,Strategic developments,Disrupted weapons use,0
2024-01-01,Ukraine,Donetsk,Urozhaine,47.7531,36.8184,Explosions/Remote violence,Shelling/artillery/missile attack,0
2024-01-01,Ukraine,Donetsk,Velyka Novosilka,47.8453,36.8353,Explosions/Remote violence,Air/drone strike,0
2024-01-01,Ukraine,Dnipropetrovsk,Zelenodolsk,47.5668,33.6474,Explosions/Remote violence,Shelling/artillery/missile attack,0
